Lexeme	WC	Flexion
saaffigaa	V	(no generation)
saaffigigajuttarpaa	V	(no generation)
saaffigiinnarpaa	V	(no generation)
saaffiginninne¦q	N	–rup, –rit
saaffiginnippoq	V	(no generation)
saaffiginnissut	N	–ip, –it
saaffiginnissuteqarne¦q	N	–rup, –rit
saaffiginnittarfi¦k	N	–up, –it
saaffiginnitt¦oq	N	–up, –ut
saaffigisat	N, pl.	-
saaffissaarunne¦q	N	–rup, –rit
saaffissaavoq	V	(no generation)
saagiarsu¦aq	N	–up, –it
saaginnal¦ik	N	{–iup, –lip, –lup}, –lit
saaginna¦q	N	–ap, –at
saaginna¦q	N	–p, –t
saaginnaqarpoq	V	(no generation)
saaginnarpaa	V	(no generation)
saagippoq	V	(no generation)
saagissisimaarnarpoq	V	(no generation)
saagissisimaarpoq	V	(no generation)
saagissisimaart¦oq	N	–up, –ut
saagi¦ssisimaartoq	N	{–ssisimaartup, –ssissimaartup, –tsisimaartup, –tsissimaartup}, {–ssisimaartut, –ssissimaartut, –tsisimaartut, –tsissimaartut}
saagooqqissaarpoq	V	(no generation)
saagoorpaa	V	(no generation)
saagoorpoq	V	(no generation)
saagoorsimavoq	V	(no generation)
saag¦oq	N	–up, –ut
saagorsu¦aq	N	–up, –it
saagortaarpoq	V	(no generation)
saaguaa	V	(no generation)
saagu¦aq	N	–ssap, –ssat
saaguassia¦q	N	–p, –t
saaguerpaa	V	(no generation)
saaguerpoq	V	(no generation)
saaguersoorpoq	V	(no generation)
saagulerfi¦k	N	–up, –it
saagulerpaa	V	(no generation)
saaguliuppaa	V	(no generation)
saagusarpoq	V	(no generation)
saagusimavoq	V	(no generation)
saaguvoq	V	(no generation)
saakkasuarpaa	V	(no generation)
saakuliorpoq	V	(no generation)
saakusivoq	V	(no generation)
saakut	N	–ip, –it
saakut	N, pl.	-
saalaavoq	V	(no generation)
saalerpaa	V	(no generation)
saalersorpaa	V	(no generation)
saalersuuppaa	V	(no generation)
saaliaquserpoq	V	(no generation)
saaliaqut	N	–ip, –it
saaliaqut	N, pl.	-
saaliaqutaaru¦ppoq	V	–nngilaq
saaliaqutitaarpoq	V	(no generation)
saaliartorpoq	V	(no generation)
saalilerpaa	V	(no generation)
saalimaarpoq	V	(no generation)
saaliorpoq	V	(no generation)
saalisa¦gaq	N	–kkap, –kkat
saalisarpaa	V	(no generation)
saalisippaa	V	(no generation)
saalivaa	V	(no generation)
saalivoq	V	(no generation)
saallorpoq	V	(no generation)
saallorsarpoq	V	(no generation)
saalualla¦k	N	–ap, –at
saaluallappoq	V	(no generation)
saamaqaaq	V	(no generation)
saamas¦oq	N	–up, –ut
saamasuunngilaq	V	(no generation)
saamavoq	V	(no generation)
saamerl¦eq	N	–iup, –iit
saamerleraa	V	(no generation)
saamerliuniat	N, pl.	-
saamerliuvoq	V	(no generation)
saamiatatungaanii¦ppoq	V	–nngilaq
saamiatungaanii¦ppoq	V	–nngilaq
saamiit	N, pl.	-
saami¦k	N	–up, –it
saamille¦q	N	–rup, –rit
saamiller¦tut	N, pl.	{–sut, –tut}
saamissorpoq	V	(no generation)
saamiuliuppaa	V	(no generation)
saamiunngilaq	V	(no generation)
saamiuvoq	V	(no generation)
saammaaffi¦k	N	–up, –it
saammaaffiuvoq	V	(no generation)
saammaannarpoq	V	(no generation)
saammaannarsivoq	V	(no generation)
saammaannartippaa	V	(no generation)
saammaannartitaavoq	V	(no generation)
saammaannartitsivi¦k	N	–up, –it
saammaannartitsi¦vik	N	{–ffiup, –viup}, {–ffiit, –viit}
saammaannartitsivoq	V	(no generation)
saammaanne¦q	N	–rup, –rit
saammaannersivoq	V	(no generation)
saammaappaa	V	(no generation)
saammaas¦oq	N	–up, –ut
saammaassaane¦q	N	–rup, –rit
saammaassaavoq	V	(no generation)
saammaassa¦q	N	–p, –t
saammaasseqatigiinne¦q	N	–rup, –rit
saammaasseqatigiinnissa¦q	N	–p, –t
saammaassine¦q	N	–rup, –rit
saammaassivoq	V	(no generation)
saammaassu¦seq	N	–tsip, –tsit
saammaassut	N	–ip, –it
saammaateqatigiinne¦q	N	–rup, –rit
saammaa¦teqatigiinneq	N	{–qatigiinnerup, –teqatigiinnerup, –tseqatigiinnerup, –titeqatigiinnerup}, {–qatigiinnerit, –teqatigiinnerit, –tseqatigiinnerit, –titeqatigiinnerit}
saammaatitikkumavoq	V	(no generation)
saammaatitippaa	V	(no generation)
saammaat¦itippoq	V	{–itsinngilaq, –sitsinngilaq, –itinngilaq, –sinngilaq}
saammaavoq	V	(no generation)
saammarpoq	V	(no generation)
saammarsaas¦oq	N	–up, –ut
saammarsaat	N	–ip, –it
saammarsaavoq	V	(no generation)
saammarsagassaanngilaq	V	(no generation)
saammarsarpaa	V	(no generation)
saammartippaa	V	(no generation)
saammisaanngilaq	V	(no generation)
saammisaarajuppoq	V	(no generation)
saammisaarpoq	V	(no generation)
saanaavoq	V	(no generation)
saane¦q	N	–rup, –rit
saa¦neq	N	{–nerup, –rnup}, {–nerit, –rnit}
saanerorpaa	V	(no generation)
saanerpaa	V	(no generation)
saanersu¦aq	N	–up, –it
saanerta¦q	N	–p, –t
saaner¦taq	N	{–sap, –tap}, {–sat, –tat}
saangerluarpaa	V	(no generation)
saangerpaa	V	(no generation)
saangersimavaa	V	(no generation)
saangersorpaa	V	(no generation)
saangiukkiartorpoq	V	(no generation)
saangiuppaa	V	(no generation)
saangiuppoq	V	(no generation)
saani	N	–p, –t
saaniia¦gaq	N	–kkap, –kkat
saani¦iagaq	N	{–ajakkap, –iakkap}, {–ajakkat, –iakkat}
saaniikkumallerpoq	V	(no generation)
saanii¦ppoq	V	–nngilaq
saaniissaaq	V	(no generation)
saanikoorfi¦k	N	–up, –it
saanikoorpoq	V	(no generation)
saanikoortaannarpoq	V	(no generation)
saanik¦oq	N	–up, –ut
saanikorsuit	N, pl.	-
saaniku	N	–p, –t
saanikuinnaavoq	V	(no generation)
saanikulia¦q	N	–p, –t
saanikuliaraa	V	(no generation)
saanikuliassa¦q	N	–p, –t
saanilerivoq	V	(no generation)
saanilu¦k	N	–up, –it
saanilussu¦aq	N	–up, –it
saannaavoq	V	(no generation)
saannappoq	V	(no generation)
saannarippoq	V	(no generation)
saannarissuunngilaq	V	(no generation)
saannarivippoq	V	(no generation)
saannarluppoq	V	(no generation)
saanne¦q	N	–rup, –rit
saanneraa¦q	N	–p, –t
saanneralaa¦q	N	–p, –t
saanneralaarsivoq	V	(no generation)
saannerivoq	V	(no generation)
saannersa¦q	N	–p, –t
saannerseraarpoq	V	(no generation)
saanngarpaa	V	(no generation)
saanngusersorpaa	V	(no generation)
saanngut	N	–ip, –it
saanngutaarluerpoq	V	(no generation)
saanngutaavoq	V	(no generation)
saanniaqqammerpoq	V	(no generation)
saanniarne¦q	N	–rup, –rit
saanniarpoq	V	(no generation)
saannippoq	V	(no generation)
saanniut	N	–ip, –it
saanniut	N, pl.	-
saanniutaavoq	V	(no generation)
saannivoq	V	(no generation)
saapaqivoq	V	(no generation)
saapersuuppaa	V	(no generation)
saapersuussivoq	V	(no generation)
saapiloorpaa	V	(no generation)
saappaa	V	(no generation)
saappallaaqaaq	V	(no generation)
saappoq	V	(no generation)
saa¦q	N	–p, –t
saaqqukkiartorpaa	V	(no generation)
saaqquppaa	V	(no generation)
saaqquppoq	V	(no generation)
saaqqusiorpaa	V	(no generation)
saaqqusiorpoq	V	(no generation)
saaqqut	N	–ip, –it
saaqqut	N, pl.	-
saaqqutersorluarsinnaavoq	V	(no generation)
saaqqutersorpoq	V	(no generation)
saaqqutinngisaannarpaa	V	(no generation)
saaqqutissia¦q	N	–p, –t
saaqqutitaarpoq	V	(no generation)
saarfaarsu¦gaq	N	–kkap, –kkat
saarfaarsu¦k	N	–up, –it
saarfaarsuppoq	V	(no generation)
saarfaarsussu¦aq	N	–up, –it
saariagassaaruppoq	V	(no generation)
saariarfissaaruppoq	V	(no generation)
saariarfissaarutitippaa	V	(no generation)
saariarfissaarut¦ititsineq	N	{–ititsinerup, –itsitsinerup, –sititsinerup, –sitsitsinerup}, {–ititsinerit, –itsitsinerit, –sititsinerit, –sitsitsinerit}
